t,T _C,R_KOhm,T_K,invT,R_Ohms_,lnR
"0,69,""0,550"",342,""0,002923976608"",550,""6,309918278"""
"8,68,""0,531"",341,""0,00293255132"",531,""6,274762021"""
"25,60,""0,527"",333,""0,003003003003"",527,""6,267200549"""
"33,65,""0,526"",338,""0,002958579882"",526,""6,265301213"""
"29,64,""0,526"",337,""0,00296735905"",526,""6,265301213"""
"28,63,""0,526"",336,""0,002976190476"",526,""6,265301213"""
"27,62,""0,527"",335,""0,002985074627"",527,""6,267200549"""
"26,61,""0,527"",334,""0,002994011976"",527,""6,267200549"""
"23,59,""0,528"",332,""0,003012048193"",528,""6,269096284"""
"39,66,""0,530"",339,""0,002949852507"",530,""6,272877007"""
"42,65,""0,532"",338,""0,002958579882"",532,""6,276643489"""
"44,64,""0,534"",337,""0,00296735905"",534,""6,280395839"""
"53,63,""0,537"",336,""0,002976190476"",537,""6,285998095"""
"60,60,""0,540"",333,""0,003003003003"",540,""6,29156914"""
"61,61,""0,544"",334,""0,002994011976"",544,""6,298949247"""
"62,62,""0,545"",335,""0,002985074627"",545,""6,300785795"""
"74,61,""0,558"",334,""0,002994011976"",558,""6,324358962"""
"82,59,""0,576"",332,""0,003012048193"",576,""6,356107661"""
"87,58,""0,611"",331,""0,003021148036"",611,""6,415096959"""
"97,55,""0,643"",328,""0,003048780488"",643,""6,466144724"""
"100,56,""0,660"",329,""0,003039513678"",660,""6,492239835"""
"102,55,""0,669"",328,""0,003048780488"",669,""6,50578406"""
"110,54,""0,686"",327,""0,003058103976"",686,""6,530877628"""
"118,51,""0,706"",324,""0,003086419753"",706,""6,559615237"""
"129,50,""0,778"",323,""0,003095975232"",""777,5"",""6,656083644"""
"143,47,""0,822"",320,""0,003125"",822,""6,711740395"""
"161,44,""0,927"",317,""0,003154574132"",927,""6,831953566"""
"163,43,""0,966"",316,""0,003164556962"",966,""6,873163834"""
"180,42,""1,069"",315,""0,003174603175"",1069,""6,974478911"""
"186,40,""1,101"",313,""0,003194888179"",1101,""7,003974137"""
"200,37,""1,195"",310,""0,003225806452"",1195,""7,085901464"""
"226,36,""1,294"",309,""0,003236245955"",1294,""7,165493475"""
"233,35,""1,385"",308,""0,003246753247"",1385,""7,233455419"""
"238,34,""1,424"",307,""0,00325732899"",1424,""7,261225092"""
"247,33,""1,494"",306,""0,003267973856"",1494,""7,309212366"""
"261,31,""1,586"",304,""0,003289473684"",1586,""7,368970402"""
"270,30,""1,677"",303,""0,003300330033"",1677,""7,424761762"""
"281,28,""1,737"",301,""0,003322259136"",1737,""7,459914766"""
"283,29,""1,762"",302,""0,003311258278"",1762,""7,474204806"""
"296,27,""1,822"",300,""0,003333333333"",1822,""7,507690078"""
"299,28,""1,831"",301,""0,003322259136"",1831,""7,512617545"""
